Frq (Hz),         Re (Ohm),       Im (Ohm)
49999.996094     108.905006      39.558552
40029.218750     114.909027      40.355957
32046.765625     121.244125      41.664680
25656.134766     127.831490      42.657776
20539.886719     134.619766      43.302029
16443.953125     141.495010      43.586704
13164.750977     148.427505      43.490005
10539.471680     155.245804      43.056290
8437.759766     161.948578      42.217194
6755.143555     168.419785      41.111935
5408.070801     174.587143      39.743931
4329.621582     180.461441      38.176952
3466.218750     185.952560      36.430481
2774.946289     191.084061      34.635113
2221.606689     195.793732      32.824238
1778.572754     200.183411      31.012001
1423.917725     204.223145      29.310915
1139.938843     207.984497      27.686956
912.621643     211.442902      26.207954
730.633728     214.678787      24.893539
584.939514     217.711823      23.834429
468.296936     220.561050      22.851404
374.905762     223.356506      22.060238
300.147583     226.129044      21.479664
240.292404     228.831848      21.038748
192.373062     231.450424      20.693151
154.013275     234.019272      20.393135
123.297798     236.618591      20.216499
 98.711578     239.283493      19.580929
 79.026680     241.855545      20.348595
 63.266605     244.475052      19.932648
 50.651840     246.368454      20.260565
 40.550598     249.276077      20.707731
 32.464157     251.956207      21.366127
 25.990187     254.888260      22.146387
 20.807550     257.711700      22.930786
 16.657986     260.687134      23.887316
 13.336132     263.973267      25.078297
 10.676711     267.494324      26.366295
  8.547708     270.816650      27.890381
  6.843038     275.163055      29.149359
  5.478490     279.654785      30.703035
  4.385962     284.591766      32.123871
  3.511363     290.333771      33.096386
  2.811146     296.500793      33.686630
  2.250541     302.907166      33.282276
  1.801782     309.303009      31.836246
  1.442473     315.457733      29.631680
  1.154804     320.764160      26.690336
  0.924530     325.347046      23.275896
  0.740161     329.125336      19.712046
  0.592561     332.121429      16.291485
  0.474396     334.881287      13.041211
  0.379797     336.962799       9.838307
  0.304057     339.388092       6.415820
  0.243427     341.901703       3.983388
  0.194883     344.378082       1.751140
  0.156019     346.791382      -0.392940
  0.124906     348.490356      -2.980472
  0.099998     350.408569      -4.992426
